AttractionId,AttractionTypeId,AttractionCityId,AttractionAvgRating,AttractionPopularity,mean,std,count,VisitMode_1,VisitMode_2,VisitMode_3,VisitMode_4,VisitMode_5
640,63,1,4.35,4272,4.346207865168539,0.8844448535645921,4272,20,2138,950,787,377
841,92,1,4.7,1405,4.703914590747331,0.63539277718908,1405,3,227,1031,131,13
673,13,1,3.78,829,3.778045838359469,1.1872716837507764,829,6,411,199,142,71
481,13,1,4.26,598,4.262541806020067,0.925880391802511,598,13,286,215,54,30
650,13,1,4.04,881,4.039727582292849,1.0266945718596554,881,8,430,207,146,90
824,76,1,4.13,285,4.126315789473685,1.0539206339866267,285,6,126,73,56,24
748,72,1,4.14,2207,4.144540099682827,1.0096748011514989,2207,18,1102,438,447,202
749,93,1,3.77,972,3.772633744855967,1.067617180689679,972,9,474,221,219,49
737,76,1,4.01,355,4.014084507042254,1.0695180516919214,355,4,154,93,74,30
369,13,1,3.3,644,3.298136645962733,1.3585497733767715,644,9,290,154,123,68
888,61,2,4.74,120,4.741666666666666,0.6010611531316274,120,8,20,29,51,12
947,91,2,4.8,10,4.8,0.4216370213557839,10,0,3,0,7,0
920,64,2,4.44,32,4.4375,0.7156093726283553,32,0,11,3,10,8
975,63,2,4.5,4,4.5,1.0,4,0,1,2,1,0
877,13,2,5.0,1,5.0,0.0,1,0,0,0,1,0
897,93,2,4.15,13,4.153846153846154,0.8006407690254358,13,0,3,3,4,3
913,13,2,4.33,6,4.333333333333333,0.5163977794943223,6,0,3,1,2,0
937,72,2,3.47,15,3.466666666666667,0.833809387832792,15,1,5,4,2,3
949,84,2,5.0,2,5.0,0.0,2,0,0,1,1,0
928,82,2,4.71,7,4.714285714285714,0.48795003647426666,7,0,1,0,3,3
1133,19,3,4.44,36,4.444444444444445,0.8765009801785555,36,2,11,5,13,5
1137,61,3,3.41,32,3.40625,1.4336818156017384,32,0,4,8,14,6
1166,34,3,3.83,489,3.826175869120654,1.0828629222348196,489,14,179,125,84,87
1171,91,3,4.15,432,4.145833333333333,0.9288024622712375,432,22,97,116,154,43
1220,10,3,4.19,58,4.189655172413793,0.9992435130167773,58,4,16,17,14,7
1225,2,3,3.48,27,3.4814814814814814,1.5779824111911038,27,1,12,3,9,2
1238,2,3,4.31,55,4.3090909090909095,0.9000561149734,55,0,25,13,13,4
1278,45,3,4.26,145,4.2620689655172415,0.9719731481714311,145,7,53,34,36,15
1280,72,3,3.84,123,3.83739837398374,1.133498745288721,123,2,35,24,31,31
1297,44,3,3.65,130,3.646153846153846,1.1334350510318503,130,1,51,28,26,24
